"Brandon Ingram","LAL","SF",81,190,19,0,5281680
"Corey Brewer","LAL","SF",81,186,30,9,7600000
"D'Angelo Russell","LAL","PG",77,195,20,1,5332800
"David Nwaba","LAL","SG",76,209,24,0,73528
"Ivica Zubac","LAL","C",85,265,19,0,1034956
"Jordan Clarkson","LAL","SG",77,194,24,2,12500000
"Julius Randle","LAL","PF",81,250,22,2,3267120
"Larry Nance Jr.","LAL","PF",81,230,24,1,1207680
"Luol Deng","LAL","SF",81,220,31,12,1.8e+07
"Metta World Peace","LAL","SF",78,260,37,16,1551659
"Nick Young","LAL","SG",79,210,31,9,5443918
"Tarik Black","LAL","C",81,250,25,2,6191000
"Thomas Robinson","LAL","PF",82,237,25,4,1050961
"Timofey Mozgov","LAL","C",85,275,30,6,1.6e+07
"Tyler Ennis","LAL","PG",75,194,22,2,1733880
